"Postcode","Division","District","Thana","SubOffice","PostCode"
"1461","ঢাকা","নারায়ণগঞ্জ","রূপগঞ্জ","কাঞ্চন","১৪৬১"
"1464","ঢাকা","নারায়ণগঞ্জ","রূপগঞ্জ","মুরাপাড়া","১৪৬৪"
"1463","ঢাকা","নারায়ণগঞ্জ","রূপগঞ্জ","নগরি","১৪৬৩"
"1431","ঢাকা","নারায়ণগঞ্জ","সিদ্ধিরগঞ্জ","আদামজীনগর","১৪৩১"
"1432","ঢাকা","নারায়ণগঞ্জ","সিদ্ধিরগঞ্জ","সিদ্ধিরগঞ্জ","১৪৩২"
"1430","ঢাকা","নারায়ণগঞ্জ","সিদ্ধিরগঞ্জ","সিদ্ধিরগঞ্জ","১৪৩০"
"1640","ঢাকা","নরসিংদী","বেলাব","বেলাব","১৬৪০"
"1651","ঢাকা","নরসিংদী","মনোহরদি","হাতিরদিয়া","১৬৫১"
"1652","ঢাকা","নরসিংদী","মনোহরদি","কাটাবাড়িয়া","১৬৫২"
"1650","ঢাকা","নরসিংদী","মনোহরদি","মনোহরদি","১৬৫০"
"1605","ঢাকা","নরসিংদী","নরসিংদী সদর","করিমপুর","১৬০৫"
"1604","ঢাকা","নরসিংদী","নরসিংদী সদর","মাধবদী","১৬০৪"
"1602","ঢাকা","নরসিংদী","নরসিংদী সদর","নরসিংদী কলেজ","১৬০২"
"1600","ঢাকা","নরসিংদী","নরসিংদী সদর","নরসিংদী সদর","১৬০০"
"1603","ঢাকা","নরসিংদী","নরসিংদী সদর","পাঁচদোনা","১৬০৩"
"1601","ঢাকা","নরসিংদী","নরসিংদী সদর","UMC জুট মিলস","১৬০১"
"1612","ঢাকা","নরসিংদী","পলাশ","চরসিন্ধুর","১৬১২"
"1613","ঢাকা","নরসিংদী","পলাশ","ঘোড়াশাল","১৬১৩"
"1611","ঢাকা","নরসিংদী","পলাশ","ঘোড়াশাল ইউরিয়া ফ্যাক্টুরি","১৬১১"
"1610","ঢাকা","নরসিংদী","পলাশ","পলাশ","১৬১০"
"1631","ঢাকা","নরসিংদী","রায়পুর","বাজার হাসনাবাদ","১৬৩১"
"1632","ঢাকা","নরসিংদী","রায়পুর","রাধাগঞ্জ বাজার","১৬৩২"
"1630","ঢাকা","নরসিংদী","শিবপুর","শিবপুর","১৬৩০"
"1620","ঢাকা","নরসিংদী","শিবপুর","শিবপুর","১৬২০"
"7730","রাজশাহী","রাজবাড়ী","বালিয়াকান্দি","বালিয়াকান্দি","৭৭৩০"
"7731","রাজশাহী","রাজবাড়ী","বালিয়াকান্দি","নালিয়া থেকে","৭৭৩১"
"7723","রাজশাহী","রাজবাড়ী","পাংশা","মৃগিবাজার","৭৭২৩"
"7720","রাজশাহী","রাজবাড়ী","পাংশা","পাংশা","৭৭২০"
"7721","রাজশাহী","রাজবাড়ী","পাংশা","রামকল","৭৭২১"
"7722","রাজশাহী","রাজবাড়ী","পাংশা","রতনদিয়া","৭৭২২"
"7710","রাজশাহী","রাজবাড়ী","রাজবাড়ী সদর","গোয়ালন্দ","৭৭১০"
"7711","রাজশাহী","রাজবাড়ী","রাজবাড়ী সদর","রাজবাড়ী সদর","৭৭১১"
"7700","রাজশাহী","রাজবাড়ী","রাজবাড়ী সদর","রাজবাড়ী সদর","৭৭০০"
"8030","বরিশাল","শরীয়তপুর","ভেদোরগঞ্জ","ভেদোরগঞ্জ","৮০৩০"
"8040","বরিশাল","শরীয়তপুর","দামুধ্যা","দামুধ্যা","৮০৪০"
"8050","বরিশাল","শরীয়তপুর","গোসাইরহাট","গোসাইরহাট","৮০৫০"
"8010","বরিশাল","শরীয়তপুর","জাজিরা","জাজিরা","৮০১০"
"8021","বরিশাল","শরীয়তপুর","নড়িয়া","ভোজেশ্বর","৮০২১"
"8022","বরিশাল","শরীয়তপুর","নড়িয়া","ঘারিসার","৮০২২"
"8024","বরিশাল","শরীয়তপুর","নড়িয়া","কার্তিকপুর","৮০২৪"
"8020","বরিশাল","শরীয়তপুর","নড়িয়া","নড়িয়া","৮০২০"
"8023","বরিশাল","শরীয়তপুর","নড়িয়া","উপশি","৮০২৩"
"8001","বরিশাল","শরীয়তপুর","শরীয়তপুর সদর","আঙ্গারিয়া","৮০০১"
"8002","বরিশাল","শরীয়তপুর","শরীয়তপুর সদর","শরীয়তপুর সদর","৮০০২"
"8000","বরিশাল","শরীয়তপুর","শরীয়তপুর সদর","শরীয়তপুর সদর","৮০০০"
"1920","ঢাকা","টাঙ্গাইল","বাসাইল","বাসাইল","১৯২০"
"1960","ঢাকা","টাঙ্গাইল","ভূঞাপুর","ভূঞাপুর","১৯৬০"
"1910","ঢাকা","টাঙ্গাইল","দেলদুয়ার","দেলদুয়ার","১৯১০"
"1913","ঢাকা","টাঙ্গাইল","দেলদুয়ার","ইলাসিন","১৯১৩"
"1914","ঢাকা","টাঙ্গাইল","দেলদুয়ার","হিংগা নগর","১৯১৪"
"1911","ঢাকা","টাঙ্গাইল","দেলদুয়ার","জাঙ্গালিয়া","১৯১১"
"1915","ঢাকা","টাঙ্গাইল","দেলদুয়ার","লউহাটি","১৯১৫"
"1912","ঢাকা","টাঙ্গাইল","দেলদুয়ার","পাঠারাইল","১৯১২"
"1982","ঢাকা","টাঙ্গাইল","ঘাটাইল","ডি পাকুটিয়া","১৯৮২"
"1983","ঢাকা","টাঙ্গাইল","ঘাটাইল","ধলাপাড়া","১৯৮৩"
"1980","ঢাকা","টাঙ্গাইল","ঘাটাইল","ঘাটাইল","১৯৮০"
"1984","ঢাকা","টাঙ্গাইল","ঘাটাইল","লোহানী","১৯৮৪"
"1981","ঢাকা","টাঙ্গাইল","ঘাটাইল","জাহিদগঞ্জ","১৯৮১"
"1990","ঢাকা","টাঙ্গাইল","গোপালপুর","গোপালপুর","১৯৯০"
"1992","ঢাকা","টাঙ্গাইল","গোপালপুর","হেমনগর","১৯৯২"
"1991","ঢাকা","টাঙ্গাইল","গোপালপুর","চাতুতিয়া","১৯৯১"
"1973","ঢাকা","টাঙ্গাইল","কালিহাতী","বাল্লাবাজার","১৯৭৩"
"1974","ঢাকা","টাঙ্গাইল","কালিহাতী","ইলিংগা","১৯৭৪"
"1970","ঢাকা","টাঙ্গাইল","কালিহাতী","কালিহাতী","১৯৭০"
"1977","ঢাকা","টাঙ্গাইল","কালিহাতী","নগরবাড়ী","১৯৭৭"
"1976","ঢাকা","টাঙ্গাইল","কালিহাতী","নগরবাড়ী তাই","১৯৭৬"
"1972","ঢাকা","টাঙ্গাইল","কালিহাতী","নাগবাড়ি","১৯৭২"
"1975","ঢাকা","টাঙ্গাইল","কালিহাতী","পালিশা","১৯৭৫"
"1971","ঢাকা","টাঙ্গাইল","কালিহাতী","রাজাফাইর","১৯৭১"
"1930","ঢাকা","টাঙ্গাইল","কাশকাওলিয়া","কাশকাওলিয়া","১৯৩০"
"1997","ঢাকা","টাঙ্গাইল","মধুপুর","ধবাড়ি","১৯৯৭"
"1996","ঢাকা","টাঙ্গাইল","মধুপুর","মধুপুর","১৯৯৬"
"1941","ঢাকা","টাঙ্গাইল","মির্জাপুর","গড়াই","১৯৪১"
"1944","ঢাকা","টাঙ্গাইল","মির্জাপুর","জারমুকি","১৯৪৪"
