postcode,division,district,thana,suboffice,postcode_bn
1534,ঢাকা,মুন্সীগঞ্জ,লৌহজং,গৌড়গঞ্জ,১৫৩৪
1532,ঢাকা,মুন্সীগঞ্জ,লৌহজং,হলদিয়া তাই,১৫৩২
1333,ঢাকা,মুন্সীগঞ্জ,লৌহজং,হারিদিয়া,১৩৩৩
1533,ঢাকা,মুন্সীগঞ্জ,লৌহজং,হারিদিয়া DESO,১৫৩৩
1531,ঢাকা,মুন্সীগঞ্জ,লৌহজং,করহাতি,১৫৩১
1530,ঢাকা,মুন্সীগঞ্জ,লৌহজং,লৌহজং,১৫৩০
1335,ঢাকা,মুন্সীগঞ্জ,লৌহজং,মেদিনী মণ্ডল,১৩৩৫
1503,ঢাকা,মুন্সীগঞ্জ,মুন্সীগঞ্জ সদর,কাঠাখালি,১৫০৩
1502,ঢাকা,মুন্সীগঞ্জ,মুন্সীগঞ্জ সদর,মিরকাদিম,১৫০২
1500,ঢাকা,মুন্সীগঞ্জ,মুন্সীগঞ্জ সদর,মুন্সীগঞ্জ সদর,১৫০০
1501,ঢাকা,মুন্সীগঞ্জ,মুন্সীগঞ্জ সদর,রিকাবিবাজার,১৫০১
1542,ঢাকা,মুন্সীগঞ্জ,সিরাজদিখান,ইছাপুর,১৫৪২
1541,ঢাকা,মুন্সীগঞ্জ,সিরাজদিখান,কোলা,১৫৪১
1543,ঢাকা,মুন্সীগঞ্জ,সিরাজদিখান,মালখানগর,১৫৪৩
1544,ঢাকা,মুন্সীগঞ্জ,সিরাজদিখান,শেখের নগর,১৫৪৪
1540,ঢাকা,মুন্সীগঞ্জ,সিরাজদিখান,সিরাজদিখান,১৫৪০
1557,ঢাকা,মুন্সীগঞ্জ,শ্রীনগর,বাঘড়া,১৫৫৭
1551,ঢাকা,মুন্সীগঞ্জ,শ্রীনগর,বারিখাল,১৫৫১
1558,ঢাকা,মুন্সীগঞ্জ,শ্রীনগর,ভাগ্যকুল,১৫৫৮
1553,ঢাকা,মুন্সীগঞ্জ,শ্রীনগর,হাশারা,১৫৫৩
1554,ঢাকা,মুন্সীগঞ্জ,শ্রীনগর,কলাপাড়া,১৫৫৪
1555,ঢাকা,মুন্সীগঞ্জ,শ্রীনগর,কুমারভগ,১৫৫৫
1552,ঢাকা,মুন্সীগঞ্জ,শ্রীনগর,মাজপাড়া,১৫৫২
1550,ঢাকা,মুন্সীগঞ্জ,শ্রীনগর,শ্রীনগর,১৫৫০
1556,ঢাকা,মুন্সীগঞ্জ,শ্রীনগর,ভাগ্যকুল তাই,১৫৫৬
1523,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,বিজরাজুগিনি,১৫২৩
1522,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,বালিগাও,১৫২২
1521,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,বেটকারহাট,১৫২১
1525,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,দিঘিরপাড়,১৫২৫
1524,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,হাসাইল,১৫২৪
1527,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,পুরা,১৫২৭
1526,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,পুরা EDSO,১৫২৬
1520,ঢাকা,মুন্সীগঞ্জ,টাংগিবাড়ি,টাংগিবাড়ি,১৫২০
1450,ঢাকা,নারায়ণগঞ্জ,আড়াইহাজার,আড়াইহাজার,১৪৫০
1460,ঢাকা,নারায়ণগঞ্জ,রূপগঞ্জ,রূপগঞ্জ,১৪৬০
1451,ঢাকা,নারায়ণগঞ্জ,আড়াইহাজার,গোপালদি,১৪৫১
1440,ঢাকা,নারায়ণগঞ্জ,বাইদ্দের বাজার,বাইদ্দের বাজার,১৪৪০
1441,ঢাকা,নারায়ণগঞ্জ,বাইদ্দের বাজার,বারো নগর,১৪৪১
1442,ঢাকা,নারায়ণগঞ্জ,বাইদ্দের বাজার,বারোদি,১৪৪২
1410,ঢাকা,নারায়ণগঞ্জ,বন্দর,বন্দর,১৪১০
1413,ঢাকা,নারায়ণগঞ্জ,বন্দর,বিআইডিএস,১৪১৩
1411,ঢাকা,নারায়ণগঞ্জ,বন্দর,ডি.সি মিলস,১৪১১
